rocauc,<settings_file>,show,<labeled_tweets>,--no-TA,--count,--clf,--reduce-func,<track_file>,--begin-line,mood,--k-features,-m,label,-u,<input_dir>,list_friends,-p,tweets,<input_tweets>,--stopwords,--n-folds,--clf-options,--features-func,users,benchmark,--no-rt,--binary,--top-features,--liwc,--n-examples,<output_dir>,<user_ids_file>,collect_tweets,--min-df,filter,collect,--emoticons,--each,--no-DD,--no-AH,--help,<output_tweets>
0.57717470457172892,,False,/data/1/sporty/nort/3K_labeled,False,3200,kneighbors,,[],0,True,160,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.55192427637874664,,False,/data/1/sporty/nort/3K_labeled,False,3200,kneighbors,,[],0,True,240,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.51648552427964189,,False,/data/1/sporty/nort/3K_labeled,False,3200,kneighbors,,[],0,True,720,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.54240449219544129,,False,/data/1/sporty/nort/3K_labeled,False,3200,kneighbors,,[],0,True,320,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.54169001812961026,,False,/data/1/sporty/nort/3K_labeled,False,3200,kneighbors,,[],0,True,400,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.52732606275725158,,False,/data/1/sporty/nort/3K_labeled,False,3200,kneighbors,,[],0,True,480,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.52239254813851865,,False,/data/1/sporty/nort/3K_labeled,False,3200,kneighbors,,[],0,True,560,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.62675124503544388,,False,/data/1/sporty/nort/3K_labeled,False,3200,decision-tree,,[],0,True,800,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.63845033641872051,,False,/data/1/sporty/nort/3K_labeled,False,3200,decision-tree,,[],0,True,640,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.64231410964018765,,False,/data/1/sporty/nort/3K_labeled,False,3200,decision-tree,,[],0,True,80,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.65134807994809385,,False,/data/1/sporty/nort/3K_labeled,False,3200,decision-tree,,[],0,True,160,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.64018292562926815,,False,/data/1/sporty/nort/3K_labeled,False,3200,decision-tree,,[],0,True,240,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.6326578767087101,,False,/data/1/sporty/nort/3K_labeled,False,3200,decision-tree,,[],0,True,720,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.64696774678383717,,False,/data/1/sporty/nort/3K_labeled,False,3200,decision-tree,,[],0,True,320,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.64666429248913071,,False,/data/1/sporty/nort/3K_labeled,False,3200,decision-tree,,[],0,True,400,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.6419457262059548,,False,/data/1/sporty/nort/3K_labeled,False,3200,decision-tree,,[],0,True,480,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.63333622890862173,,False,/data/1/sporty/nort/3K_labeled,False,3200,decision-tree,,[],0,True,560,False,False,False,,False,False,False,,,10,,,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.66394848661310979,,False,/data/1/sporty/nort/3K_labeled,False,3200,svm,,[],0,True,800,False,False,False,,False,False,False,,,10,"{""kernel"":""linear"",""class_weight"":""auto""}",,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.66513544953309378,,False,/data/1/sporty/nort/3K_labeled,False,3200,svm,,[],0,True,640,False,False,False,,False,False,False,,,10,"{""kernel"":""linear"",""class_weight"":""auto""}",,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.71772186011475159,,False,/data/1/sporty/nort/3K_labeled,False,3200,svm,,[],0,True,80,False,False,False,,False,False,False,,,10,"{""kernel"":""linear"",""class_weight"":""auto""}",,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
0.74175978584333713,,False,/data/1/sporty/nort/3K_labeled,False,3200,svm,,[],0,True,160,False,False,False,,False,False,False,,,10,"{""kernel"":""linear"",""class_weight"":""auto""}",,False,True,False,False,True,,30,,,False,3,False,False,,False,False,False,False,
