users,tweets,show,rocauc,rec,prec,mood,list_friends,label,filter,f1,collect_tweets,collect,benchmark,acc,<user_ids_file>,<track_file>,<settings_file>,<output_tweets>,<output_dir>,<labeled_tweets>,<input_tweets>,<input_dir>,-u,-p,-m,--top-features,--stopwords,--roc,--reduce-func,--proba,--no-rt,--no-TA,--no-DD,--no-AH,--n-folds,--n-examples,--min-df,--liwc,--k-features,--help,--features-func,--emoticons,--each,--count,--clf-options,--clf,--binary,--begin-line
False,False,False,0.787912531678,0.711158117398,0.6809496152,True,False,False,False,0.693861749309,False,False,True,0.820833333333,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.53,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.671740987727,0.37522474881,0.831350036453,True,False,False,False,0.512542915815,False,False,True,0.799074074074,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.94,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.737421106128,0.901004759387,0.458090913344,True,False,False,False,0.606803680504,False,False,True,0.66712962963,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.21,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.709410742615,0.46287678477,0.812680906581,True,False,False,False,0.58729154193,False,False,True,0.815277777778,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.89,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.745983640896,0.886382866208,0.473861986299,True,False,False,False,0.616776104529,False,False,True,0.685648148148,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.23,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.780384081809,0.793918561608,0.580139193946,True,False,False,False,0.668361089036,False,False,True,0.774537037037,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.4,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.738998571497,0.54405076679,0.774558837205,True,False,False,False,0.635418163617,False,False,True,0.822685185185,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.8,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.784838331948,0.696589106293,0.691136455987,True,False,False,False,0.691777903935,False,False,True,0.822685185185,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.55,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.771859457306,0.641485986251,0.728367810351,True,False,False,False,0.679180968398,False,False,True,0.827777777778,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.65,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.783462470898,0.805261766261,0.577442079661,True,False,False,False,0.670733027257,False,False,True,0.774074074074,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.39,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.762914798052,0.613881544157,0.742470245214,True,False,False,False,0.668574804383,False,False,True,0.826851851852,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.71,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.656771515106,0.339450026441,0.847114345819,True,False,False,False,0.481397935304,False,False,True,0.793055555556,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.96,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.786092461214,0.81829719725,0.573493297784,True,False,False,False,0.67261713051,False,False,True,0.772222222222,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.38,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.754131429121,0.581438392385,0.768606860473,True,False,False,False,0.657522362827,False,False,True,0.828240740741,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.76,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.768164339627,0.871787414067,0.510189116534,True,False,False,False,0.642802948276,False,False,True,0.723611111111,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.28,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.777289072641,0.763141195135,0.597500025485,True,False,False,False,0.668329816267,False,False,True,0.783333333333,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.43,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.786904407068,0.829640401904,0.567057666439,True,False,False,False,0.672087436687,False,False,True,0.768518518519,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.36,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.775032313007,0.776097303014,0.581829963836,True,False,False,False,0.66303846581,False,False,True,0.774537037037,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.41,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.775906240771,0.662533051296,0.708726946306,True,False,False,False,0.682576844833,False,False,True,0.824537037037,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.59,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.766814953951,0.626864093072,0.735406031469,True,False,False,False,0.673100584394,False,False,True,0.826851851852,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.68,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.76961111073,0.866922263353,0.514440765625,True,False,False,False,0.64490358573,False,False,True,0.727777777778,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.29,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.650067956898,0.97567424643,0.365691466939,True,False,False,False,0.531909068594,False,False,True,0.510185185185,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.07,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.665760643376,0.970809095717,0.377427750361,True,False,False,False,0.543444229122,False,False,True,0.534722222222,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.09,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.589076246334,0.996774193548,0.32703913183,True,False,False,False,0.492452558224,False,False,True,0.413888888889,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.01,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.77518182505,0.764754098361,0.591817097419,True,False,False,False,0.665070879128,False,False,True,0.77962962963,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.42,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.77769011792,0.673876255949,0.698468416522,True,False,False,False,0.683683226419,False,False,True,0.822222222222,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.57,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.719804920093,0.495319936542,0.786941348309,True,False,False,False,0.604621868796,False,False,True,0.816203703704,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.85,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.776880266745,0.662533051296,0.712545726277,True,False,False,False,0.684294394622,False,False,True,0.825925925926,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.6,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.734347421484,0.91234796404,0.451425034335,True,False,False,False,0.603317156161,False,False,True,0.65787037037,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.2,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
False,False,False,0.780118503918,0.681967213115,0.695262086212,True,False,False,False,0.686248783729,False,False,True,0.822222222222,None,[],None,None,None,/data/1/sporty/nort/3K_labeled,None,None,False,False,False,True,None,None,reduce_or,0.56,False,False,False,False,10,30,3,../inputs/liwc.dic,200,False,None,../inputs/params/emoticons,False,3200,{"class_weight":"auto"},logistic-reg,False,0
