1,36
199,26
189,24
2,23
190,22
197,22
182,21
4,20
187,20
195,20
193,19
196,19
198,19
200,19
191,17
192,17
194,17
184,16
183,15
186,15
5,14
6,14
174,14
179,13
181,13
188,13
9,12
175,12
3,11
12,11
72,11
178,11
180,11
185,11
45,10
57,10
83,10
86,10
101,10
173,10
176,10
29,9
37,9
64,9
73,9
166,9
168,9
171,9
201,9
10,8
15,8
43,8
48,8
59,8
75,8
144,8
153,8
156,8
164,8
165,8
172,8
7,7
8,7
14,7
26,7
27,7
40,7
51,7
61,7
170,7
177,7
204,7
16,6
18,6
22,6
36,6
39,6
42,6
44,6
50,6
66,6
69,6
100,6
106,6
108,6
114,6
131,6
136,6
158,6
160,6
161,6
11,5
17,5
30,5
33,5
35,5
38,5
54,5
55,5
65,5
67,5
68,5
70,5
76,5
79,5
80,5
89,5
93,5
102,5
110,5
115,5
121,5
128,5
130,5
140,5
143,5
147,5
155,5
159,5
162,5
203,5
13,4
19,4
25,4
58,4
62,4
63,4
74,4
77,4
78,4
87,4
90,4
92,4
97,4
116,4
117,4
122,4
123,4
126,4
127,4
137,4
145,4
148,4
150,4
157,4
169,4
202,4
205,4
20,3
21,3
24,3
28,3
31,3
32,3
41,3
46,3
52,3
53,3
71,3
81,3
85,3
88,3
91,3
95,3
99,3
103,3
104,3
105,3
112,3
113,3
129,3
132,3
133,3
134,3
135,3
141,3
142,3
149,3
152,3
154,3
167,3
210,3
217,3
23,2
34,2
47,2
49,2
56,2
82,2
96,2
107,2
118,2
120,2
124,2
138,2
146,2
151,2
206,2
207,2
212,2
231,2
60,1
84,1
94,1
98,1
109,1
111,1
119,1
125,1
139,1
163,1
209,1
211,1
213,1
214,1
215,1
219,1
226,1
227,1
238,1
249,1
252,1
253,1
254,1
291,1
303,1
304,1
361,1
